,Title,Section,Sub,Class,Cat,Deg,NCIC,Printable,UCR  Code,IBR_code,Effective Date,Short_Description,Full_Description,final_code
70,ABC,114,,A,M,0,4199.0,N,99.0,90G,,ABC LICENSE VIO,Improper Posting Of License,ABC114AM090G
71,ABC,116,,A,M,0,4103.0,N,99.0,90G,,DELIVERY VIOL,Improper Vehicle To Deliver Alcohol Beverage,ABC116AM090G
72,ABC,117,,A,M,0,4103.0,N,99.0,90G,,TRANSPORT VIOL,Violation Transportation Of Alcohol Beverage,ABC117AM090G
73,ABC,126,,A,M,0,4199.0,N,99.0,90G,,ALC BEV VIOL,Person Forbidden To Traffic In Alcohol Beverages,ABC126AM090G
74,ABC,128,,A,M,0,4199.0,N,99.0,90G,,ABC SAL/MFG VIO,Unlawful Official Interest In Alcohol Beverage,ABC128AM090G
75,ABC,130,01,U,M,0,4199.0,N,44.0,90G,,ABC LICENSE VIO,Manufacture/Sell Alcohol Beverage Without License,ABC13001UM090G
76,ABC,130,,U,M,0,4199.0,N,99.0,90G,,ABC VIOL,General Violation Of Alcohol Beverage Law,ABC130UM090G
77,ABC,130,02,U,M,0,4199.0,N,44.0,90G,,ABC LICENSE VIO,False Statement On License/Permit Application,ABC13002UM090G
78,ABC,130,01A,U,M,0,4199.0,N,44.0,90G,,ABC LICENSE VIO,Sell Alcohol Beverage While License Suspend,ABC13001AUM090G
79,ABC,151,,A,M,0,4104.0,N,44.0,90G,,POSS ILICIT ALC,Possession Illicit Alcohol Beverage,ABC151AM090G
80,ABC,152,,A,M,0,4102.0,Y,44.0,90G,,ILICIT SALE 1ST,Sale Illicit Alcohol Beverage-1st Offense,ABC152AM090G
81,ABC,152,,E,F,0,4102.0,Y,44.0,90G,,ILICIT SALE 2ND,Sale Illicit Alcohol Beverage-2nd Offense,ABC152EF090G
82,ABC,153,,E,F,0,4101.0,Y,44.0,90G,,ILICIT MFG  BEV,Manufacture Illicit Alcohol Beverage,ABC153EF090G
83,ABC,154,,E,F,0,4199.0,Y,44.0,90G,,ALCOHOL VIOL,Use Premises to Manufacture/Etc Illicit Alcoholic Beverage-Prior Conv,ABC154EF090G
84,ABC,154,,A,M,0,4199.0,Y,44.0,90G,,ALCOHOL VIOL,Use Premises to Manufacture/Etc Illicit Alcoholic Beverage-1st Offense,ABC154AM090G
91,ACA,13.03,,A,M,0,7399.0,N,99.0,90Z,1983-12-31 00:00:00,FINE ARTS VIOL,Falsify Certificate Of Authenticity,ACA13.03AM090Z
92,ACA,19.01,,A,M,0,7399.0,N,99.0,90Z,1983-12-31 00:00:00,MOVING PICT VIO,Failure To Fireproof Cinematographyical Location,ACA19.01AM090Z
93,ACA,19.03,,A,M,0,7399.0,N,99.0,90Z,1983-12-31 00:00:00,MOVING PICT VIO,Improper Construction Of Projection Booth,ACA19.03AM090Z
94,ACA,19.07,,A,M,0,7399.0,N,99.0,90Z,1983-12-31 00:00:00,MOVING PICT VIO,Operating A Projection Booth Without Inspection Approval,ACA19.07AM090Z
95,ACA,19.09,,A,M,0,7399.0,N,99.0,90Z,1983-12-31 00:00:00,MOVING PICT VIO,Faulty Construction:Portable Projection Booth,ACA19.09AM090Z
96,ACA,19.11,,A,M,0,7399.0,N,99.0,90Z,1983-12-31 00:00:00,MOVING PICT VIO,Improper Construction:Miniature Cinema Booth,ACA19.11AM090Z
97,ACA,19.13,,A,M,0,7399.0,N,99.0,90Z,1983-12-31 00:00:00,MOVING PICT VIO,Operating A Portable/Miniature Booth Without Inspection,ACA19.13AM090Z
98,ACA,23.03,03,U,M,0,2699.0,N,99.0,90Z,1983-12-31 00:00:00,THEATRE FIN VIO,Theatre Syndicate:Failure To Issue Prospectus,ACA23.0303UM090Z
99,ACA,23.03,04,U,M,0,2699.0,N,99.0,90Z,1983-12-31 00:00:00,THEATRE FIN VIO,Theatre Syndicate:Deceitful Practices,ACA23.0304UM090Z
100,ACA,23.03,,U,M,0,2699.0,N,99.0,90Z,1983-12-31 00:00:00,THEATRE FIN VIO,Theatre Syndicate Financial Violation,ACA23.03UM090Z
101,ACA,23.03,02,U,M,0,2699.0,N,99.0,90Z,1983-12-31 00:00:00,THEATRE FIN VIO,Theatre Syndicate:Books/Records Violation,ACA23.0302UM090Z
102,ACA,23.05,05,U,M,0,5015.0,N,99.0,90Z,1983-12-31 00:00:00,THEATRE FIN VIO,Theatre Financial Viol:Public Officer Disobeys Subpoena,ACA23.0505UM090Z
103,ACA,23.05,,U,M,0,5015.0,N,99.0,90Z,1983-12-31 00:00:00,THEATRE FIN VIO,Theatre Financial Viol:Enforcement Violation,ACA23.05UM090Z
104,ACA,23.05,04,U,M,0,5015.0,N,99.0,90Z,1983-12-31 00:00:00,THEATRE FIN VIO,Theatre Financial Viol:Person Fails To Obey Subpoena,ACA23.0504UM090Z
105,ACA,23.05,01,U,M,0,5006.0,N,99.0,90Z,1983-12-31 00:00:00,THEATRE FIN VIO,Theatre Financial Viol:Failure To File Statement,ACA23.0501UM090Z
106,ACA,23.07,,U,M,0,7399.0,N,99.0,90Z,1983-12-31 00:00:00,THEATRE FIN VIO,Theatre Financial Viol:Failure To Separate Funds,ACA23.07UM090Z
107,ACA,23.19,,U,M,0,2699.0,N,99.0,90Z,1983-12-31 00:00:00,THEATRE FIN VIO,Theatre Financial Viol:Unlawful Retention Of Payment,ACA23.19UM090Z
108,ACA,23.23,05,U,M,0,7399.0,N,99.0,90Z,1983-12-31 00:00:00,THTR/SP EVT VIO,Theater/Sporting Event:Failure To Keep Records,ACA23.2305UM090Z
109,ACA,23.23,04,U,M,0,7399.0,N,99.0,90Z,1983-12-31 00:00:00,THTR/SP EVT VIO,Theater/Sporting Event:Unregistered Ticket Sales,ACA23.2304UM090Z
110,ACA,23.23,,U,M,0,7399.0,N,99.0,90Z,1983-12-31 00:00:00,THTR/SP EVT VIO,Theater/Sporting Event:Ticket Violation,ACA23.23UM090Z
111,ACA,25.07,01,U,M,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,TICKET PRICES,Ticket Prices - Operator fails to Print Price on Face of Ticket,ACA25.0701UM090Z
112,ACA,25.07,02,,V,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,TICKET PRICES ,Ticket Prices - Reseller Fails to Guarantee Refund,ACA25.0702V090Z
113,ACA,25.08,,,V,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,PRINT ON TICKET,Oper Fails to Print Prohibition on Resale Within 1500 Feet on Ticket,ACA25.08V090Z
114,ACA,25.09,02,,V,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,AGG TKT SPEC,Aggravated Ticket Speculation - Unlawfully Resell 5 or More Tickets,ACA25.0902V090Z
115,ACA,25.09,01,,V,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,TKT SPECULATORS,Ticket Speculators - Resell in Violation of ACA Section 25.13,ACA25.0901V090Z
116,ACA,25.11,01,,V,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,BUFFER ZONE VIO,Buffer Zone Violation - Seating Capacity >5000/Resale Within 1500 Feet,ACA25.1101V090Z
117,ACA,25.11,,,V,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,BUFFER ZONE VIO,Resale of Tickets Within Buffer Zone,ACA25.11V090Z
118,ACA,25.11,02,,V,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,BUFFER ZONE VIO,Buffer Zone Viol- Seating Capacity 5000 or Less/Resale Within 500 Feet,ACA25.1102V090Z
119,ACA,25.13,01,U,M,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,TKT RESELLR LIC,Licensing of Ticket Resellers - Failure to Procure a License,ACA25.1301UM090Z
120,ACA,25.13,02,U,M,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,TKT RESELLR LIC,Operator Unlawfully Resells Tkts to Reseller Owned by Operator's Agent,ACA25.1302UM090Z
121,ACA,25.13,03,U,M,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,TKT RESELLR LIC,Ticket Reseller License Violation - Fail to Disclose Obstructed View,ACA25.1303UM090Z
122,ACA,25.13,,U,M,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,TKT RESELLR LIC,Ticket Reseller License Violation,ACA25.13UM090Z
123,ACA,25.15,,U,M,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,RESELLER BOND ,Ticket Reseller Licence Applicant Fails to Post Bond,ACA25.15UM090Z
124,ACA,25.19,,,V,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,POST RESELL LIC,Ticket Reseller Fails to Post License or Alters/Destroys License,ACA25.19V090Z
125,ACA,25.24,,,V,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,TKT SOFTWARE,Unlawfully Use Automated Ticket Purchasing Software ,ACA25.24V090Z
126,ACA,25.24,02,,V,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,TKT SOFTWARE,Unlawfully Use Automated Ticket Purchasing Software,ACA25.2402V090Z
127,ACA,25.27,,E,F,0,7399.0,Y,99.0,90Z,2014-04-14 00:00:00,ILLEG COMMISION,Ticket Reseller Pays Venue Employee Illegal Commission > $1000,ACA25.27EF090Z
128,ACA,25.27,,A,M,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,ILLEG COMMISION,Ticket Reseller Pays an Illegal Commission to Venue Employee,ACA25.27AM090Z
129,ACA,25.29,,E,F,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,UNLAW TKT CHG,Unlawful Ticket Charges - Operator Charges Illegal Premium >$1000,ACA25.29EF090Z
130,ACA,25.29,,A,M,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,UNLAW TKT CHG,Unlawful Ticket Charges - Operator Charges Illegal Premium,ACA25.29AM090Z
131,ACA,25.30,1A,,V,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,RESTRICT RESALE,Operator Unlawfully Restricts Resale of Tickets,ACA25.301AV090Z
132,ACA,25.30,,,V,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,OPER PROHIBITNS,Operator of Place of Entertainment Commits a Prohibited Act,ACA25.30V090Z
133,ACA,25.30,03,,V,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,UNLAW RESALE,Operator of Venue Sells Tickets to Reseller Controlled by Operator,ACA25.3003V090Z
134,ACA,25.30,1B,,V,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,DENY ACCESS,Operator Unlawfully Denies Access to Holder of Resold Ticket,ACA25.301BV090Z
135,ACA,25.30,1C,,V,0,7399.0,N,99.0,90Z,2014-04-14 00:00:00,PAPERLESS TKT,Operator Unlawfully Employs Paperless Ticketing System,ACA25.301CV090Z
136,ACA,31.03,,A,M,0,2699.0,N,99.0,90Z,1983-12-31 00:00:00,PUBLICATNS VIOL,Producing Work Without Consent Owner,ACA31.03AM090Z
137,ACA,31.05,,A,M,0,2699.0,N,99.0,90Z,1983-12-31 00:00:00,PUBLICATNS VIOL,Printing/Publishing/Selling Musical Work Without Consent Of Owner,ACA31.05AM090Z
138,ACA,33.09,08,A,M,0,2607.0,N,99.0,90Z,1983-12-31 00:00:00,TRADE MARK VIOL,False Representation Of Trademarked Goods,ACA33.0908AM090Z
139,ACA,33.09,02,A,M,0,2503.0,N,99.0,90Z,1983-12-31 00:00:00,TRADE MARK VIOL,Affixes A Counterfeit Trademark,ACA33.0902AM090Z
140,ACA,33.09,06,A,M,0,7399.0,N,99.0,90Z,1983-12-31 00:00:00,TRADE MARK VIOL,Sells Trademarked Goods Out Of Original Container,ACA33.0906AM090Z
141,ACA,33.09,03,A,M,0,2505.0,N,99.0,90Z,1983-12-31 00:00:00,TRADE MARK VIOL,Sells Material With Counterfeit Trademark,ACA33.0903AM090Z
142,ACA,33.09,04,A,M,0,2507.0,N,99.0,90Z,1983-12-31 00:00:00,TRADE MARK VIOL,Possession Counterfeit Trademark,ACA33.0904AM090Z
143,ACA,33.09,05,A,M,0,2607.0,N,99.0,90Z,1983-12-31 00:00:00,TRADE MARK VIOL,Sells Material With Misleading Trademark,ACA33.0905AM090Z
144,ACA,33.09,07,A,M,0,2607.0,N,99.0,90Z,1983-12-31 00:00:00,TRADE MARK VIOL,Represent Non-trademaked Goods As Trademarked,ACA33.0907AM090Z
145,ACA,33.09,,A,M,0,7399.0,N,99.0,90Z,1983-12-31 00:00:00,TRADE MARK VIOL,Offenses Against Trademarks,ACA33.09AM090Z
146,ACA,33.09,01,A,M,0,2503.0,N,99.0,90Z,1983-12-31 00:00:00,TRADE MARK VIOL,Falsely Makes Or Counterfeit A Trademark,ACA33.0901AM090Z
147,ACA,33.11,,A,M,0,2699.0,N,99.0,90Z,1983-12-31 00:00:00,TRADE MARK VIOL,Refilling Trademarked Bottles,ACA33.11AM090Z
148,ACA,33.13,,A,M,0,2699.0,N,99.0,90Z,1983-12-31 00:00:00,TRADE MARK VIOL,Intent To Refill Trademarked Bottles,ACA33.13AM090Z
149,ACA,35.01,,A,M,0,7099.0,N,99.0,90Z,1983-12-31 00:00:00,CHILD LABOR VIO,Employ Child Performer Without Permit,ACA35.01AM090Z
150,ACA,35.05,,A,M,0,7099.0,N,99.0,90Z,1983-12-31 00:00:00,CHILD LABOR VIO,Employ Child Model Without Permit,ACA35.05AM090Z
151,ACA,35.07,,A,M,0,7099.0,N,99.0,90Z,1983-12-31 00:00:00,CHILD LABOR VIO,Prohibited Employment Of Child,ACA35.07AM090Z
152,ACA,37.09,,,V,0,5599.0,Y,99.0,90Z,1983-12-31 00:00:00,VIO AERIAL PERF,Improper Protection Of Aerial Performer-1st Offense,ACA37.09V090Z
153,ACA,37.09,,U,M,0,5599.0,Y,99.0,90Z,1983-12-31 00:00:00,VIO AERIAL PERF,Improper Protection Of Aerial Performer-2nd Offense,ACA37.09UM090Z
159,AM,021,,U,M,0,5599.0,N,99.0,90Z,,INTERFER AM EMP,Interfere With Agriculture and Market Employee,AM021UM090Z
160,AM,031-B,,U,M,0,5599.0,N,99.0,90Z,,STATE FAIR VIOL,Unlawfully Holding Race During State Fair Week,AM031-BUM090Z
161,AM,034,,U,M,0,5015.0,N,99.0,90Z,,FL OBEY SUBPOEN,Failure To Obey Subpoena,AM034UM090Z
162,AM,045-B,,U,M,0,5599.0,N,99.0,90Z,,FOOD STAMP VIOL,Unauthorized Possession Food Stamps,AM045-BUM090Z
163,AM,045-C,,U,M,0,5512.0,N,99.0,90Z,,DONATD FOOD VIO,Misuse Of U S Donated Food,AM045-CUM090Z
164,AM,046-A,,U,M,0,5510.0,N,99.0,90Z,,DAIRY PRODS VIO,Sale:Adulterated Dairy Product,AM046-AUM090Z
165,AM,047,,U,M,0,5599.0,N,99.0,90Z,,DAIRY PRODS VIO,Unsanitary Dairy Surroundings,AM047UM090Z
166,AM,048,,U,M,0,5599.0,N,99.0,90Z,,UNSANITARY CANS,Using Unsanitary Receptacles,AM048UM090Z
167,AM,049,,U,M,0,5599.0,N,99.0,90Z,,UNSANITARY CANS,Unlawful Use Condemned Receptacle,AM049UM090Z
168,AM,050-G,,U,M,0,5599.0,N,99.0,90Z,1971-07-01 00:00:00,PRODCTS LIC VIO,License Violation Manufacture Melloream,AM050-GUM090Z
169,AM,050-I,,U,M,0,5511.0,N,99.0,90Z,,LABELLING VIOL,Mislabeling Vegetable Oil Blends,AM050-IUM090Z
170,AM,050-J,,U,M,0,5512.0,N,99.0,90Z,,DAIRY PRODS VIO,Unlawfully Serve Vegetable Oil Blends,AM050-JUM090Z
171,AM,054,,U,M,0,5510.0,N,99.0,90Z,,DAIRY PRODS VIO,Adulterated Milk Sold To Factory,AM054UM090Z
172,AM,055,,U,M,0,5599.0,N,99.0,90Z,,DAIRY PRODS VIO,Illegal Feeding By-Products To Animals,AM055UM090Z
173,AM,056,,U,M,0,5599.0,N,99.0,90Z,,DAIRY PRODS VIO,Using Improper Fat Testing Equipment,AM056UM090Z
174,AM,056-A,,U,M,0,5599.0,N,99.0,90Z,,DAIRY PRODS VIO,Dairy Product Test Irregularity,AM056-AUM090Z
175,AM,056-B,,U,M,0,5599.0,N,99.0,90Z,,DAIRY PRODS VIO,Improper Bacteria Count,AM056-BUM090Z
176,AM,057,,U,M,0,5599.0,N,99.0,90Z,,DAIRY PRODS VIO,Unlicensed Milk Plant Supervisor,AM057UM090Z
177,AM,057-A,,U,M,0,5599.0,N,99.0,90Z,,DAIRY PRODS VIO,Unlicensed Bacteria Count,AM057-AUM090Z
178,AM,061,,U,M,0,5599.0,N,99.0,90Z,1971-07-01 00:00:00,OLEO SALE VIOL,Violation Manufacture Sale Or Use Of Oleo,AM061UM090Z
179,AM,062,,U,M,0,5512.0,N,99.0,90Z,,DAIRY PRODS VIO,Mixing Animal Fats With Cheese,AM062UM090Z
180,AM,067,,U,M,0,5511.0,N,99.0,90Z,,DAIRY PRODS VIO,Mislabel Grade Brands Cheese,AM067UM090Z
181,AM,067-B,,U,M,0,5599.0,N,99.0,90Z,,DAIRY PRODS VIO,Selling Non-pasteurized Cheese,AM067-BUM090Z
182,AM,068,,U,M,0,5511.0,N,99.0,90Z,,DAIRY PRODS VIO,Falsely Branded Butter/Cheese,AM068UM090Z
183,AM,069,,U,M,0,5599.0,N,99.0,90Z,,DAIRY PRODS VIO,Misusing County Trade Marks,AM069UM090Z
184,AM,070,,U,M,0,5599.0,N,99.0,90Z,,DAIRY PRODS VIO,Unauthorized Reuse Milk Cases,AM070UM090Z
185,AM,071,,U,M,0,5599.0,N,99.0,90Z,,DAIRY PRODS VIO,Unlawful Possession Milk Cans,AM071UM090Z
186,AM,071-A,,U,M,0,5599.0,N,99.0,90Z,,VIO RE FRZ DESS,Unlawful Substitution:Ice Milk,AM071-AUM090Z
187,AM,071-B,,U,M,0,5599.0,N,99.0,90Z,,VIO RE FRZ DESS,Unlicensed Manufacture Frozen Dessert,AM071-BUM090Z
188,AM,071-G,,U,M,0,5599.0,N,99.0,90Z,,VIO RE FRZ DESS,Unlawful Buying Or Selling Frozen Desserts,AM071-GUM090Z
189,AM,071-H,,U,M,0,5599.0,N,99.0,90Z,,VIO RE FRZ DESS,Unsanitary Vehicle Frozen Dessert,AM071-HUM090Z
190,AM,071-I,,U,M,0,5599.0,N,99.0,90Z,,VIO FRZN DESSRT,Misrepresent Manufacture Frozen Desserts,AM071-IUM090Z
191,AM,072,,U,M,0,5599.0,N,99.0,90Z,,DOM ANIMALS VIO,Destroying Agriculture Commissioners Posted Notice,AM072UM090Z
192,AM,072-A,,U,M,0,5599.0,N,99.0,90Z,,DOM ANIMALS VIO,Feeding Raw Garbage To Animals,AM072-AUM090Z
193,AM,073,,U,M,0,5599.0,N,99.0,90Z,,DOM ANIMALS VIO,Failure Report Animal Disease,AM073UM090Z
